timestamp,time_passed,is_keyboard,event,operator,task_id,repetition
1465419928.55633,0.1754245758,True,1,K,2,4
1465419928.63812,0.0817837715,True,KeyReleased: 49,K,2,4
1465419928.81685,0.1787264347,True,1,K,2,4
1465419928.89499,0.0781357288,True,KeyReleased: 49,K,2,4
1465419929.05343,0.1584486961,True,1,K,2,4
1465419929.13917,0.085726738,True,KeyReleased: 49,K,2,4
1465419929.31272,0.1735534668,True,1,K,2,4
1465419929.40868,0.0959508419,True,KeyReleased: 49,K,2,4
1465419929.561,0.1523149014,True,1,K,2,4
1465419929.64474,0.0837345123,True,KeyReleased: 49,K,2,4
1465419929.8175,0.1727695465,True,1,K,2,4
1465419929.91072,0.0932130814,True,KeyReleased: 49,K,2,4
1465419930.77268,0.8619632721,False,switched to mouse,H,2,4
1465419944.6549,2.93254852294922E-05,True,switched to keyboard,H,2,5
1465419944.65498,0.000056982,True,1,K,2,5
1465419944.70681,0.05184412,True,KeyReleased: 49,K,2,5
1465419944.8706,0.1637938023,True,1,K,2,5
1465419944.94743,0.0768272877,True,KeyReleased: 49,K,2,5
1465419945.12786,0.1804218292,True,1,K,2,5
1465419945.19871,0.0708446503,True,KeyReleased: 49,K,2,5
1465419945.36313,0.1644251347,True,1,K,2,5
1465419945.44846,0.0853235722,True,KeyReleased: 49,K,2,5
1465419945.60487,0.156409502,True,1,K,2,5
1465419945.69545,0.0905780792,True,KeyReleased: 49,K,2,5
1465419945.86363,0.1681802273,True,1,K,2,5
1465419945.96003,0.09638834,True,KeyReleased: 49,K,2,5
1465419946.11548,0.1554412842,True,1,K,2,5
1465419946.19767,0.0821938515,True,KeyReleased: 49,K,2,5
1465419946.36911,0.171446085,True,1,K,2,5
1465419946.4567,0.0876443386,True,KeyReleased: 49,K,2,5
1465419946.61673,0.159971714,True,1,K,2,5
1465419946.70382,0.0870773792,True,KeyReleased: 49,K,2,5
1465419946.87204,0.1682238579,True,1,K,2,5
1465419946.95546,0.083419323,True,KeyReleased: 49,K,2,5
1465419947.12225,0.1667830944,True,1,K,2,5
1465419947.18254,0.0602915287,True,KeyReleased: 49,K,2,5
1465419947.35901,0.1764624119,True,1,K,2,5
1465419947.43199,0.0729775429,True,KeyReleased: 49,K,2,5
1465419947.61567,0.1836805344,True,1,K,2,5
1465419947.70937,0.0937066078,True,KeyReleased: 49,K,2,5
1465419947.87215,0.1627621651,True,1,K,2,5
1465419947.93901,0.0668566227,True,KeyReleased: 49,K,2,5
1465419948.11795,0.1789417267,True,1,K,2,5
1465419948.17133,0.0533792973,True,KeyReleased: 49,K,2,5
1465419948.35262,0.181358099,True,1,K,2,5
1465419948.37434,0.0216388702,True,KeyReleased: 49,K,2,5
1465419948.6019,0.2275645733,True,1,K,2,5
1465419948.6577,0.0557966232,True,KeyReleased: 49,K,2,5
1465419948.84809,0.1903905869,True,1,K,2,5
1465419948.91613,0.0680301189,True,KeyReleased: 49,K,2,5
1465419949.07952,0.1633923054,True,1,K,2,5
1465419949.13944,0.0599105358,True,KeyReleased: 49,K,2,5
1465419949.31801,0.1785750389,True,1,K,2,5
1465419949.37294,0.0549218655,True,KeyReleased: 49,K,2,5
1465419950.46419,1.0912573338,False,switched to mouse,H,2,5
